,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
348619,Professional Development,ISPD,Leadership & Management,Non-School,Special Education,TA,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Idea Part B Formula,"CLASSROOM AIDE, REGULAR",,,Extra Duty Pay/Overtime For Support Personnel,Undistributed,,Curriculum Development And Instructional Staff Dev,Instruction And Curriculum,AB AIDE,51.48,Services To Students With Disabilities (Special Education),Idea Part B Formula,EXTENDED DAYS
421576,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-11.2,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
413061,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,,,OTHER SUPPORT SERVICES,,,-9.3,ARRA - Title I Grants to LEAs,Title I,
179390,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,EDUCATIONAL,PARENT RESOURCE CENTERS,TITLE  CFDA 84.00A,,,,,,,,,SUPPLIES AND MATERIALS,2272.89,STUDENT SUPPORT SERVICES,INTRADISTRICT FUNDS,
336425,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,2633.72296,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
415345,Physical Health & Services,Pupil Services & Enrichment,School Reported,School,Unspecified,Nurse,Travel & Conferences,Non PreK,PreK-12 Operating,Employee Allowances,,Operations,SCHOOL CLINIC ADMINISTRATION,,Undistributed,Travel Allowances,School ,,Health Services,All Campus Payroll,NURSE,468.79272449900003,Undistributed,General Operating Fund,TRAVEL
367281,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Support Services - Instructional Staff,,,,Non-Certificated Salaries And Wages,,,Instructional Staff-Classroom Support *,,,-3443.01,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I C/O-EARLY CH
9624,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Community Services,,,,Purchased Services,,,Non-Public School Services *,,,1170.01,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PARENT-NP
438120,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",11.340000000000002,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
418788,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,6.82,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
183589,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst I ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",1176.6168,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
368504,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,0.5037850168810001,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,25263.883454,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
27688,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Extra Duty Wages,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,1041.78219852,Basic Educational Services,General Operating Fund,DEPARTMENT CHAIRPERSON
262055,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-High School,,,,,1.0,,,HS ENGLISH ,46198.22,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
401610,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-292.45,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
169294,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,0.506549005274,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,22199.4330622,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
342918,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER KINDERGARTEN,,Regular Instruction,,,1.0,,,TEACHER,64158.69,Instruction - Regular,General Purpose School,
28331,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",SUPPLIES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,497.34,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
126230,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Support Services - Instructional Staff,,,,General Supplies *,,,Other Improvements of Instruction Services *,,,-1499.81,,Miscellaneous Federal Grants,GIFTED PROJECT
436299,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Super Sub D/D ",Regular,,,,0.004310344827590001,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,165.636698367,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
210446,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, SPECIAL EDUCATION",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,356.309561294,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",MISCELLANEOUS 
74009,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,208.01784126299998,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
262320,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,CHIEF ACADEMIC OFFICER,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Summer School ",n/a,,,ELEMENTARY EDUCATION,,SUMMER SCHOLARS,,PROFESSIONAL-INSTRUCTIONAL,582.7876,OTHER GENERAL EDUCATION,,OTHER EDUCATION
362817,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,SCHOOLWIDE SCHOOLS,,TITLE I-A NCLB - DISADVANTAGED CHILDREN,,,,,,,OTHER SUPPORT SERVICES,,,17550.579999999998,"REGULAR, TITLE I",Title I,
85777,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,OTHER DISTRICT INSURANCE,,RISK-RELATED ACTIVITY FUND,(blank),,,,,,NON-PROJECT,,UNDESIGNATED,,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
60329,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""",SKILLS SPECIALIST,,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,728.930326962,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
187835,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Elementary ",n/a,,,ELEMENTARY EDUCATION,,EMPLOYEE RETIREMENT,,UNDESIGNATED,636.27,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
179912,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,,,Regular Instruction,,,1.0,,,TEACHER,6900.55,Instruction - Regular,General Purpose School,
242523,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS",Teacher (Afterschool),,,,OFFICE OF COMMUNITY & EDUCATION PROGRAMS,0.025,,,,2347.765440840001,,,
37469,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Substitute,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,,,,,,,,Transportation,,,,,549.38,,,
55313,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,4.57,PRIMARY GRADES PROGRAM ,General Fund,
158177,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Secondary (High) ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,419.53,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
18776,Curriculum Development,ISPD,Shared Services,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,HUMANITIES,GENERAL FUND,"Teacher, Short Term Sub ",n/a,,,HUMANITIES,,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,8.38,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
169885,Food Services,O&M,School Reported,School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Manager, Food Service III ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-772.2199999999998,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
150764,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,Non PreK,PreK-12 Operating,Electronic Media,,Support Services - Instructional Staff,,,,"Newspapers, Periodicals, Films And Filmstrips *",,,School Library Services *,,,418.28,,General,SCHOOL BASED MANAGEMENT
416825,Substitute Compensation,Instruction,School Reported,School,At Risk,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,State Ed. Allotment,TEACHER SUBSTITUTE POOL,,Regular Salary,Salaries And Wages For Substitute Teachers,School ,,Instruction,Instruction And Curriculum,DEGREED SUBSTITUTE,235.124965277,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
183033,Food Services,O&M,Shared Services,School,Unspecified,Other,Other Compensation/Stipend,PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",,Undistributed,Extra Duty Pay/Overtime For Support Personnel,School ,,Food Services (Child Nutrition Fund Only),Child Nutrition,ELEM MGR AVG SIZE  ,1105.29,Undistributed,National School Breakfast And Lunch Program,ADDL REGULAR PAY-NOT SMOOTHED
105261,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-890.02,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
71852,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Extra Duty Pay/Overtime For Support Personnel,,Operations,"TEACHER, REGULAR",,,Extra Duty Pay/Overtime For Support Personnel,Unallocated,,Extracurricular Activities,Transportation Department,BUS DRIVER,901.3571397119999,Athletics And Related Activities,General Operating Fund,FIELD TRIPS
69837,Aides Compensation,Instruction,School Reported,School,ELL,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,ITEMGD PRESCHOOL PROGRAM,Early Childhood Education ,Regular,,,,0.0376241484019,ELPA - PRESCHOOL PROG,,PARAPROFESSIONAL,820.2057767530002,EARLY CHILDHOOD,,REGULAR INSTRUCTION
304443,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER 4TH GRADE,,Regular Instruction,,,1.0,,,TEACHER,45775.1,Instruction - Regular,General Purpose School,
382115,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EQUIPMENT *,,Operation and Maintenance of Plant Services,,,,Equipment *,,,Care and Upkeep of Equipment and Furniture Services,,,-207.17,,Title I - Disadvantaged Children/Targeted Assistance,ESEA TITLE I HOSTS
382783,Professional Development,ISPD,Shared Services,Non-School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,WORKSHOP PARTICIPANT          ,,,"TEACHER, FOURTH               ",,,,ESE                           ,,INST STAFF TRAINING SVCS      ,,,32.23,,FED THRU STATE-CASH ADVANCE   ,IDEA  PART B                  
163516,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,6.46,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
194080,Professional Development,ISPD,Shared Services,Non-School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,EARLY EDUCATION,ARRA - STIMULUS,Early Childhd Sub Para ,n/a,,,EARLY CHILDHOOD EDUCATION,0.00128233298965,ARRA HEAD START,,PARAPROFESSIONAL,25.513283939,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
358295,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,998.78,Misc,School Nutrition Service Fund,
407065,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,0.345568955805,EXT DAY TUITION PAID KINDERGAR,,PROFESSIONAL-INSTRUCTIONAL,15441.011181200001,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
301847,Aides Compensation,Instruction,School Reported,School,PreK,TA,Benefits,PreK,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Early Childhood Education ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,66.5,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
213302,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRA BENEFITS,,GENERAL FUND,Project Manager ,n/a,,,CONSTRUCTION SERVICES,,NON-PROJECT,,UNDESIGNATED,-185.47,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
30475,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Teacher,Regular,,,,,SPECIAL ED. - MILD/MODERATE,,PROFESSIONAL-INSTRUCTIONAL,1444.73,SPECIAL EDUCATION-CONVERSION,,SPECIAL EDUCATION
328737,Teacher Compensation,Instruction,School Reported,Non-School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Regular *,TEACHER,Regular Instruction,"TCHR, SCNDY SPANISH",,,Certificated Employees Salaries And Wages,SR OTH CERTIFICATED PERSON,1.0,High School,,,102156.211286,,General,SCHOOL BASED MANAGEMENT
25152,Facilities & Maintenance,O&M,School on Central Budgets,Non-School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Custodian Asst II ,n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,NON-PROJECT,,UNDESIGNATED,-689.42,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
200566,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Special Instruction,,,,Personal Services - Employees Salaries And Wages,,,Disadvantaged Youth *,,,26771.52,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I 
138666,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER LEARNING & LEADERSHIP,ARRA - STIMULUS,"Teacher, Short Term Sub ",Regular,,,,0.00215517241379,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,54.863969233999995,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
414090,Professional Development,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,,TITLE I-A ARRA OF  TARGETED ASSISTANCE,,,,,ADMIN. SERVICES,,IMPROVEMENT OF INSTR SERV,,,3379.51,ARRA - Title I Grants to LEAs,Title I,
206971,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",298.28728,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
239569,School Supervision,Leadership,Leadership & Management,Non-School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,INSTRUCTIONAL SUPPORT TEAMS,GENERAL FUND,(blank),n/a,,,MS TEAM ,,NON-PROJECT,,UNDESIGNATED,575.68,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
308374,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Staples and Condiments,,Food Service Operations,,,,Food And Related Supplies And Materials *,,,"Food Purchasing, Preparation And Dispensing Services *",,,-0.56,,Food Services,ELEM LUNCH
282341,Professional Development,ISPD,School Reported,School,Poverty,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""",SKILLS SPECIALIST,,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,349.94,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",MISCELLANEOUS 
49079,Student Transportation,O&M,Shared Services,Non-School,Unspecified,NO_LABEL,Equipment & Equipment Lease,Non PreK,PreK-12 Operating,Furniture And Equipment,,,,,,Furniture And Equipment,Unallocated,,Student Transportation,Minor Projects,,194997.85,Undistributed,General Operating Fund,
108930,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,, MILL LEVY,(blank),Turnaround,,,,,TEXTBOOKS FOR ,,UNDESIGNATED,9166.37,ENGLISH LANGUAGE ARTS,,REGULAR INSTRUCTION
318799,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Elementary ,,,,,1.0,,,3RD GRADE ,80596.18,PRIMARY GRADES PROGRAM ,General Fund,
168086,Social & Emotional,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Personal Services - Other Compensation,,,,,Other Student Support,,,0.0,,,Career Ladder II/Ext Learning,2333.0299,Principal's Office,General Purpose School,
217915,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodian Asst I ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",85.7,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
384990,School Administration,Leadership,School Reported,School,Unspecified,Principal,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Principal, Elementary ",Regular,,,,,NON-PROJECT,,ADMINISTRATOR,923.95264,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
163139,Student Transportation,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,,STUDENT TRANSPORT SERVICE,,,979.74,Misc,Schoolwide Schools,
321949,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Intervention ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-285.97,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
20822,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, BILINGUAL EDUCATION",,Summer School,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,2554.00629942,PRE-K,Title Iii Part A - Lep,EXTENDED YEAR
288592,Teacher Compensation,Instruction,School Reported,School,Alternative,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,ALTERNATIVE EDUCATION,LOCAL,Teacher,,,,,1.0,,,,89493.34772430001,,,
299032,Facilities & Maintenance,O&M,School Reported,School,PreK,Non-Position,Equipment & Equipment Lease,PreK,PreK-12 Operating,NON-CAPITAL EQUIPMENT,,DISTRICT SPECIAL REVENUE FUNDS,(blank),Regular,,,,,TUITION BASED - ECE,,UNDESIGNATED,444.26,EARLY CHILDHOOD,,REGULAR INSTRUCTION
71226,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.00215517241379,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,55.433969233999996,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
364557,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,FEDERAL GDPG FUND,Teacher Secondary (Middle) ,Turnaround,,,,,SIP TURNAROUND  ,,PROFESSIONAL-INSTRUCTIONAL,908.45648,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
322914,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER 3RD GRADE,,Regular Instruction,,,1.0,,,TEACHER,58318.48,Instruction - Regular,General Purpose School,
239594,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,"""Building Purchase, Construction Or Improvements""",,,,,,"Building Purchase, Construction Or Improvements",School ,,Facilities Maintenance And Operations,Minor Projects,,90895.7,Undistributed,General Operating Fund,
276291,Teacher Compensation,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, PRE-K BILINGUAL",,,Critical Needs Incentive,School ,,Instruction,All Campus Payroll,TEACHER BACHELOR,4170.03208511,PRE-K,General Operating Fund,CRITICAL NEEDS SUPPLEMENT
246594,Data Processing & Information Services,Business Services,School Reported,School,Poverty,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,POSTAGE,,FEDERAL GDPG FUND - FY ,(blank),Regular,,,,,TITLE I - CENTRAL PROGRAMS,,UNDESIGNATED,451.2,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
342113,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.18,Instruction,All Campus Payroll,TEACHER BACHELOR,8983.93951624,Basic Educational Services,General Operating Fund,REGULAR PAY
